ticker,events,first_date,last_date
AAPL,68,2001-01-17,2017-11-02
AXP,68,2001-01-22,2017-10-18
BA,68,2001-01-17,2017-10-25
CAT,68,2001-01-19,2017-10-24
CSCO,68,2001-02-06,2017-11-15
DIS,68,2001-02-06,2017-11-09
GE,68,2001-01-17,2017-10-20
GS,67,2001-03-21,2017-10-17
HD,68,2001-02-20,2017-11-14
IBM,68,2001-01-17,2017-10-17
INTC,68,2001-01-16,2017-10-26
JNJ,68,2001-01-23,2017-10-17
JPM,68,2001-01-17,2017-10-12
KO,68,2001-02-01,2017-10-25
MCD,68,2001-01-25,2017-10-24
MMM,68,2001-01-16,2017-10-24
MRK,68,2001-01-23,2017-10-27
MSFT,68,2001-01-18,2017-10-26
NKE,68,2001-03-21,2017-12-21
PFE,68,2001-01-26,2017-10-31
PG,68,2001-01-31,2017-10-20
UNH,68,2001-02-05,2017-10-17
VZ,68,2001-02-01,2017-10-19
WMT,68,2001-03-15,2017-11-16
XOM,68,2001-01-23,2017-10-27
