symbol,status,message,quarterly_rows_raw,sample_events,raw_path,downloaded_at_utc
AAPL,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/AAPL.json,2026-05-17T19:17:45Z
AXP,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/AXP.json,2026-05-17T19:17:45Z
BA,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/BA.json,2026-05-17T19:17:45Z
CAT,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/CAT.json,2026-05-17T19:17:45Z
CSCO,ok,quarterly earnings,122,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/CSCO.json,2026-05-17T19:17:45Z
DIS,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/DIS.json,2026-05-17T19:17:45Z
GE,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/GE.json,2026-05-17T19:17:45Z
GS,ok,quarterly earnings,108,67,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/GS.json,2026-05-17T19:17:45Z
HD,ok,quarterly earnings,120,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/HD.json,2026-05-17T19:17:45Z
IBM,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/IBM.json,2026-05-17T19:17:45Z
INTC,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/INTC.json,2026-05-17T19:17:45Z
JNJ,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/JNJ.json,2026-05-17T19:17:45Z
JPM,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/JPM.json,2026-05-17T19:17:45Z
KO,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/KO.json,2026-05-17T19:17:45Z
MCD,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/MCD.json,2026-05-17T19:17:45Z
MMM,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/MMM.json,2026-05-17T19:17:45Z
MRK,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/MRK.json,2026-05-17T19:17:45Z
MSFT,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/MSFT.json,2026-05-17T19:17:45Z
NKE,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/NKE.json,2026-05-17T19:17:45Z
PFE,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/PFE.json,2026-05-17T19:17:45Z
PG,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/PG.json,2026-05-17T19:17:45Z
UNH,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/UNH.json,2026-05-17T19:17:45Z
VZ,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/VZ.json,2026-05-17T19:17:45Z
WMT,ok,quarterly earnings,120,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/WMT.json,2026-05-17T19:17:45Z
XOM,ok,quarterly earnings,121,68,/Users/celiawong/Desktop/Course004 machine learning/004_individual/rv1_professional_reproduction_code/data/external/alpha_vantage_earnings/raw/XOM.json,2026-05-17T19:17:45Z
