symbol,ok_months,api_message_months,other_bad_months,combined_rows,unique_dates,first_timestamp,last_timestamp,bad_months
AAPL,204,0,0,332797,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
AXP,204,0,0,332169,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
BA,204,0,0,332151,4276,2001-01-02 09:35:00,2017-12-29 15:55:00,
CAT,204,0,0,332186,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
CHV,0,1,0,0,0,,,2001-01
CSCO,204,0,0,332390,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
CVX,195,9,0,317404,4085,2001-10-10 09:30:00,2017-12-29 15:55:00,2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09
DD,0,3,0,0,0,,,2001-01;2007-03;2017-12
DIS,204,0,0,332224,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
DOW,0,3,0,0,0,,,2001-01;2007-03;2017-12
GE,204,0,0,332512,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
GS,204,0,0,332195,4276,2001-01-02 09:35:00,2017-12-29 15:55:00,
HD,204,0,0,332216,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
IBM,204,0,0,332271,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
INTC,204,0,0,332419,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
JNJ,204,0,0,332136,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
JPM,204,0,0,332359,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
KO,204,0,0,332138,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
MCD,204,0,0,332152,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
MMM,204,0,0,332118,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
MRK,204,0,0,332183,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
MSFT,204,0,0,332419,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
NKE,204,0,0,331966,4276,2001-01-02 09:35:00,2017-12-29 15:55:00,
PFE,204,0,0,332211,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
PG,204,0,0,332164,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
RTN,0,3,0,0,0,,,2001-01;2007-03;2017-12
RTX,129,75,0,208927,2689,2007-04-27 10:55:00,2017-12-29 15:55:00,2001-01;2007-03;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02
STA,0,1,0,0,0,,,2001-01
TRV,131,73,0,212293,2732,2007-02-27 09:30:00,2017-12-29 15:55:00,2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01
UNH,204,0,0,331921,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
UTX,0,3,0,0,0,,,2001-01;2007-03;2017-12
VZ,204,0,0,332215,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
WAG,0,1,0,0,0,,,2001-01
WBA,204,0,0,332108,4276,2001-01-02 09:35:00,2017-12-29 15:55:00,
WMT,204,0,0,332262,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
XOM,204,0,0,332327,4276,2001-01-02 09:30:00,2017-12-29 15:55:00,
