symbol,month,status,rows,path,message,downloaded_at_utc
AAPL,2001-01,ok,1638,av_intraday_5min/raw_monthly/AAPL/2001-01.csv,csv ohlcv,2026-05-17T12:43:04Z
AXP,2001-01,ok,1638,av_intraday_5min/raw_monthly/AXP/2001-01.csv,csv ohlcv,2026-05-17T12:43:05Z
BA,2001-01,ok,1635,av_intraday_5min/raw_monthly/BA/2001-01.csv,csv ohlcv,2026-05-17T12:43:06Z
CAT,2001-01,ok,1630,av_intraday_5min/raw_monthly/CAT/2001-01.csv,csv ohlcv,2026-05-17T12:43:06Z
CSCO,2001-01,ok,1638,av_intraday_5min/raw_monthly/CSCO/2001-01.csv,csv ohlcv,2026-05-17T12:43:07Z
CVX,2001-01,api_message,0,,Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERIES_INTRADAY.,2026-05-17T14:03:31Z
DIS,2001-01,ok,1637,av_intraday_5min/raw_monthly/DIS/2001-01.csv,csv ohlcv,2026-05-17T12:43:08Z
DOW,2001-01,api_message,0,,Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERIES_INTRADAY.,2026-05-17T12:44:33Z
GE,2001-01,ok,1638,av_intraday_5min/raw_monthly/GE/2001-01.csv,csv ohlcv,2026-05-17T12:43:10Z
GS,2001-01,ok,1627,av_intraday_5min/raw_monthly/GS/2001-01.csv,csv ohlcv,2026-05-17T12:43:11Z
HD,2001-01,ok,1637,av_intraday_5min/raw_monthly/HD/2001-01.csv,csv ohlcv,2026-05-17T12:43:12Z
IBM,2001-01,ok,1638,av_intraday_5min/raw_monthly/IBM/2001-01.csv,csv ohlcv,2026-05-17T12:43:14Z
INTC,2001-01,ok,1638,av_intraday_5min/raw_monthly/INTC/2001-01.csv,csv ohlcv,2026-05-17T12:43:15Z
JNJ,2001-01,ok,1630,av_intraday_5min/raw_monthly/JNJ/2001-01.csv,csv ohlcv,2026-05-17T12:43:16Z
JPM,2001-01,ok,1638,av_intraday_5min/raw_monthly/JPM/2001-01.csv,csv ohlcv,2026-05-17T12:43:17Z
KO,2001-01,ok,1633,av_intraday_5min/raw_monthly/KO/2001-01.csv,csv ohlcv,2026-05-17T12:43:18Z
MCD,2001-01,ok,1636,av_intraday_5min/raw_monthly/MCD/2001-01.csv,csv ohlcv,2026-05-17T12:43:19Z
MMM,2001-01,ok,1636,av_intraday_5min/raw_monthly/MMM/2001-01.csv,csv ohlcv,2026-05-17T12:43:21Z
MRK,2001-01,ok,1638,av_intraday_5min/raw_monthly/MRK/2001-01.csv,csv ohlcv,2026-05-17T12:43:22Z
MSFT,2001-01,ok,1638,av_intraday_5min/raw_monthly/MSFT/2001-01.csv,csv ohlcv,2026-05-17T12:43:23Z
NKE,2001-01,ok,1621,av_intraday_5min/raw_monthly/NKE/2001-01.csv,csv ohlcv,2026-05-17T12:43:24Z
PFE,2001-01,ok,1630,av_intraday_5min/raw_monthly/PFE/2001-01.csv,csv ohlcv,2026-05-17T12:43:25Z
PG,2001-01,ok,1636,av_intraday_5min/raw_monthly/PG/2001-01.csv,csv ohlcv,2026-05-17T12:43:26Z
RTX,2001-01,api_message,0,,Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERIES_INTRADAY.,2026-05-17T14:08:42Z
TRV,2001-01,api_message,0,,Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERIES_INTRADAY.,2026-05-17T14:06:20Z
UNH,2001-01,ok,1632,av_intraday_5min/raw_monthly/UNH/2001-01.csv,csv ohlcv,2026-05-17T12:43:29Z
VZ,2001-01,ok,1638,av_intraday_5min/raw_monthly/VZ/2001-01.csv,csv ohlcv,2026-05-17T12:43:30Z
WMT,2001-01,ok,1637,av_intraday_5min/raw_monthly/WMT/2001-01.csv,csv ohlcv,2026-05-17T12:43:31Z
XOM,2001-01,ok,1634,av_intraday_5min/raw_monthly/XOM/2001-01.csv,csv ohlcv,2026-05-17T12:43:32Z
