date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2001-01-17,AAPL,1,Alpha Vantage EARNINGS,2001-01-17,2000-12-31,-0.01,-0.01,0.0,0.0,False
2001-04-18,AAPL,1,Alpha Vantage EARNINGS,2001-04-18,2001-03-31,0.01,nan,0.0,nan,False
2001-07-18,AAPL,1,Alpha Vantage EARNINGS,2001-07-18,2001-06-30,0.003,nan,0.0,nan,False
2001-10-17,AAPL,1,Alpha Vantage EARNINGS,2001-10-17,2001-09-30,0.0034,nan,0.0,nan,False
2002-01-16,AAPL,1,Alpha Vantage EARNINGS,2002-01-16,2001-12-31,0.01,0.01,0.0,0.0,False
2002-04-17,AAPL,1,Alpha Vantage EARNINGS,2002-04-17,2002-03-31,0.002,nan,0.0,nan,False
2002-07-16,AAPL,1,Alpha Vantage EARNINGS,2002-07-16,2002-06-30,0.01,0.01,0.0,0.0,False
2002-10-16,AAPL,1,Alpha Vantage EARNINGS,2002-10-16,2002-09-30,-0.0022,nan,0.0,nan,False
2003-01-15,AAPL,1,Alpha Vantage EARNINGS,2003-01-15,2002-12-31,-0.0004,nan,0.0,nan,False
2003-04-16,AAPL,1,Alpha Vantage EARNINGS,2003-04-16,2003-03-31,0.0007,nan,0.0,nan,False
2003-07-16,AAPL,1,Alpha Vantage EARNINGS,2003-07-16,2003-06-30,0.0009,nan,0.0,nan,False
2003-10-15,AAPL,1,Alpha Vantage EARNINGS,2003-10-15,2003-09-30,0.01,nan,0.0,nan,False
2004-01-14,AAPL,1,Alpha Vantage EARNINGS,2004-01-14,2003-12-31,0.01,0.01,0.0,0.0,False
2004-04-14,AAPL,1,Alpha Vantage EARNINGS,2004-04-14,2004-03-31,0.01,0.01,0.0,0.0,False
2004-07-14,AAPL,1,Alpha Vantage EARNINGS,2004-07-14,2004-06-30,0.01,0.01,0.0,0.0,False
2004-10-13,AAPL,1,Alpha Vantage EARNINGS,2004-10-13,2004-09-30,0.02,0.01,0.01,100.0,False
2005-01-12,AAPL,1,Alpha Vantage EARNINGS,2005-01-12,2004-12-31,0.01,0.01,0.0,0.0,False
2005-04-13,AAPL,1,Alpha Vantage EARNINGS,2005-04-13,2005-03-31,0.01,0.01,0.0,0.0,False
2005-07-13,AAPL,1,Alpha Vantage EARNINGS,2005-07-13,2005-06-30,0.01,0.01,0.0,0.0,False
2005-10-11,AAPL,1,Alpha Vantage EARNINGS,2005-10-11,2005-09-30,0.01,0.01,0.0,0.0,False
2006-01-18,AAPL,1,Alpha Vantage EARNINGS,2006-01-18,2005-12-31,0.02,0.02,0.0,0.0,False
2006-04-19,AAPL,1,Alpha Vantage EARNINGS,2006-04-19,2006-03-31,0.02,0.02,0.0,0.0,False
2006-07-19,AAPL,1,Alpha Vantage EARNINGS,2006-07-19,2006-06-30,0.02,0.02,0.0,0.0,False
2006-10-18,AAPL,1,Alpha Vantage EARNINGS,2006-10-18,2006-09-30,0.02,0.02,0.0,0.0,False
2007-01-17,AAPL,1,Alpha Vantage EARNINGS,2007-01-17,2006-12-31,0.04,0.03,0.01,33.3333,False
2007-04-25,AAPL,1,Alpha Vantage EARNINGS,2007-04-25,2007-03-31,0.03,0.02,0.01,50.0,False
2007-07-25,AAPL,1,Alpha Vantage EARNINGS,2007-07-25,2007-06-30,0.03,0.03,0.0,0.0,False
2007-10-22,AAPL,1,Alpha Vantage EARNINGS,2007-10-22,2007-09-30,0.04,0.03,0.01,33.3333,False
