dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,1,AAPL,AdaptiveLasso,rolling,842,5.7122647267132405e-08,0.00023900344614070403,8.718546923278052e-05,0.06701504860296581,5.678133787059874e-08,1.0060109431960107
MHAR,1,AAPL,Bagging,rolling,842,5.505041571214322e-08,0.00023462825003000646,7.888668251619275e-05,0.10086083392824463,5.678133787059874e-08,0.969516002557034
MHAR,1,AAPL,ElasticNet,rolling,842,5.6638201586782255e-08,0.00023798781814786708,9.431860979592663e-05,0.07492750629111034,5.678133787059874e-08,0.9974791667617504
MHAR,1,AAPL,GradientBoosting,rolling,842,5.34309889642711e-08,0.00023115144162274027,8.80775871379998e-05,0.12731095236531287,5.678133787059874e-08,0.9409955976387367
MHAR,1,AAPL,HAR,rolling,842,5.678133787059874e-08,0.0002382883502620276,8.470672115728012e-05,0.07258965947922924,5.678133787059874e-08,1.0
MHAR,1,AAPL,HARQ,rolling,842,5.4866608870874726e-08,0.00023423622450610565,7.514610482551389e-05,0.1038629534915303,5.678133787059874e-08,0.9662789030422713
MHAR,1,AAPL,HARX,rolling,842,5.678133787059874e-08,0.0002382883502620276,8.470672115728012e-05,0.07258965947922924,5.678133787059874e-08,1.0
MHAR,1,AAPL,Lasso,rolling,842,5.712425865613361e-08,0.00023900681717502035,8.720612800318176e-05,0.06698872976515113,5.678133787059874e-08,1.0060393220447952
MHAR,1,AAPL,LevHAR,rolling,842,5.5839357310861574e-08,0.00023630352792724355,8.218495153565308e-05,0.08797504038837023,5.678133787059874e-08,0.9834103845548007
MHAR,1,AAPL,LogHAR,rolling,842,5.1409539525268355e-08,0.0002267367185201117,6.780226222487112e-05,0.1603273127202488,5.678133787059874e-08,0.905395002182365
MHAR,1,AAPL,NN1,fixed,842,5.4713033473349224e-08,0.0002339081731649179,8.262599134486902e-05,0.10637130248533744,5.678133787059874e-08,0.9635742221861158
MHAR,1,AAPL,NN1_1,fixed,842,6.092971863280437e-08,0.0002468394592296871,8.341732039113122e-05,0.004834101763160681,5.678133787059874e-08,1.073058876697473
MHAR,1,AAPL,NN2,fixed,842,5.3933704252008584e-08,0.0002322363112263209,9.37846204218559e-05,0.11910009693869172,5.678133787059874e-08,0.9498491278053408
