dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,1,AdaptiveLasso,rolling,3,4.2915670399115743e-08,0.00020556668430416728,7.588223834755076e-05,1.0240003707686178,1.0064451800961318
MHAR,1,Bagging,rolling,3,4.301861627800172e-08,0.00020570304185988658,6.546608104051635e-05,1.0251582756219477,0.9870161126198911
MHAR,1,ElasticNet,rolling,3,4.252310006489668e-08,0.00020437753383070007,7.980481821165212e-05,1.009233790106527,0.9974791667617504
MHAR,1,GradientBoosting,rolling,3,4.144969849033672e-08,0.00020224568484031205,6.976302711422032e-05,0.9935495416489273,1.0129420600918182
MHAR,1,HAR,rolling,3,4.21309850237185e-08,0.00020343478553625549,6.988811913567877e-05,1.0,1.0
MHAR,1,HARQ,rolling,3,4.4386984312251795e-08,0.00020871792687816542,6.536657081845266e-05,1.0577514861225314,0.9662789030422713
MHAR,1,HARX,rolling,3,4.21309850237185e-08,0.00020343478553625549,6.988811913567877e-05,1.0,1.0
MHAR,1,Lasso,rolling,3,4.2584480033106276e-08,0.00020457789024074826,7.551244078289105e-05,1.0117705874619334,1.0145159710451883
MHAR,1,LevHAR,rolling,3,4.6085430889404636e-08,0.0002124802701349881,8.10784542856544e-05,1.0983265969333738,0.9834103845548007
MHAR,1,LogHAR,rolling,3,3.803148214209351e-08,0.00019337211039849984,5.8857240862522055e-05,0.9048302132070303,0.905395002182365
MHAR,1,NN1,fixed,3,4.047042975071992e-08,0.0001994832560685343,7.322648512230772e-05,0.963052258605702,0.9635742221861158
MHAR,1,NN1_1,fixed,3,4.334965591820186e-08,0.0002058215978054819,7.319532523067074e-05,1.0191237507125688,0.9971702436389736
MHAR,1,NN2,fixed,3,4.0074782340861215e-08,0.00019838009406429385,7.916128938634052e-05,0.9505920722675288,0.9498491278053408
MHAR,1,NN2_1,fixed,3,3.9999211894114166e-08,0.00019810162110376096,7.447047710351297e-05,0.9477282509314281,0.961127916085577
MHAR,1,NN3,fixed,3,4.2816587047476795e-08,0.00020495756504800252,9.746249272865757e-05,1.0143111067391735,0.9967891947628843
MHAR,1,NN3_1,fixed,3,4.048563661648825e-08,0.00019974565018759306,7.754868741831035e-05,0.9674762011954678,0.9844084721189548
MHAR,1,NN4,fixed,3,4.3126007227272476e-08,0.00020577987691699338,9.844618040431197e-05,1.0237881544643912,0.9888974206726255
MHAR,1,NN4_1,fixed,3,4.124069966854335e-08,0.00020171152320545927,8.092450137539593e-05,0.9904452422982111,0.9762902935423218
MHAR,1,PostLasso,rolling,3,4.2371313378858666e-08,0.00020400568935947288,7.188386257240153e-05,1.0055274504356857,1.0059920877097515
MHAR,1,RandomForest,rolling,3,3.987343047585651e-08,0.00019807778336821552,6.299106583205725e-05,0.9498845765076385,0.9396286640230644
MHAR,1,Ridge,rolling,3,4.207112689965568e-08,0.0002032758158576615,7.226530995677989e-05,0.9982243494165847,0.9951239252199218
MHAR,1,SHAR,rolling,3,4.037980260368476e-08,0.000198999286341349,6.821830691216872e-05,0.9555885998230776,0.9540181130319635
