dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,22,AAPL,AdaptiveLasso,rolling,838,1.9814445351425163e-08,0.00014076379275731798,0.00011018130536015737,-1.0181660779108297,1.7722984237348575e-08,1.1180084056989197
MHAR,22,AAPL,Bagging,rolling,838,1.3634762698619149e-08,0.00011676798661713385,7.687641085275342e-05,-0.3887451841662528,1.7722984237348575e-08,0.7693265714182546
MHAR,22,AAPL,ElasticNet,rolling,838,2.0351018237366353e-08,0.0001426569950523505,0.00011323801057183685,-1.0728177816313855,1.7722984237348575e-08,1.1482839438789085
MHAR,22,AAPL,GradientBoosting,rolling,838,1.5199598849989573e-08,0.000123286653170526,8.47016244129489e-05,-0.5481288652218104,1.7722984237348575e-08,0.8576207396245752
MHAR,22,AAPL,HAR,rolling,838,1.7722984237348575e-08,0.00013312769898615607,9.991498208660536e-05,-0.8051439216587815,1.7722984237348575e-08,1.0
MHAR,22,AAPL,HARQ,rolling,838,1.7729534620326456e-08,0.00013315229859197495,9.944382729290417e-05,-0.8058110995933045,1.7722984237348575e-08,1.000369598194647
MHAR,22,AAPL,HARX,rolling,838,1.7722984237348575e-08,0.00013312769898615607,9.991498208660536e-05,-0.8051439216587815,1.7722984237348575e-08,1.0
MHAR,22,AAPL,Lasso,rolling,838,1.981423521537388e-08,0.00014076304634162292,0.00011018114314564915,-1.0181446748665897,1.7722984237348575e-08,1.1179965490020751
MHAR,22,AAPL,LevHAR,rolling,838,1.7495911452729056e-08,0.00013227211139438675,9.905185153432947e-05,-0.7820158157235375,1.7722984237348575e-08,0.9871876665025184
MHAR,22,AAPL,LogHAR,rolling,838,1.2055508508256837e-08,0.00010979757970127045,7.433540293319588e-05,-0.2278929786737327,1.7722984237348575e-08,0.6802188811324241
MHAR,22,AAPL,NN1,fixed,838,1.5500234497663314e-08,0.00012449993774160418,9.47245544923383e-05,-0.5787495894048498,1.7722984237348575e-08,0.8745837772060338
