dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,22,AdaptiveLasso,rolling,3,1.4237423422084116e-08,0.00011797262643172809,9.353072242528071e-05,1.213788113611736,1.1645036262242718
MHAR,22,Bagging,rolling,3,1.072045493836003e-08,0.00010305816515037297,6.378914108460519e-05,0.9579050121411377,0.8483194531127505
MHAR,22,ElasticNet,rolling,3,1.3975381671475448e-08,0.0001162470337256773,9.326534589658188e-05,1.1603075787909312,1.164498076133419
MHAR,22,GradientBoosting,rolling,3,1.2297224946102185e-08,0.00011037599447364899,7.306240622543003e-05,1.0923376361165762,1.0599269360815364
MHAR,22,HAR,rolling,3,1.207623153787882e-08,0.00010799064381108267,8.131436371560862e-05,1.0,1.0
MHAR,22,HARQ,rolling,3,1.1974564439957522e-08,0.00010740473615056267,7.544726297537287e-05,0.9865855272990083,0.9935515204130196
MHAR,22,HARX,rolling,3,1.207623153787882e-08,0.00010799064381108267,8.131436371560862e-05,1.0,1.0
MHAR,22,Lasso,rolling,3,1.3842207227649828e-08,0.000115868711579711,9.234887154479169e-05,1.15680408248699,1.1645200306701455
MHAR,22,LevHAR,rolling,3,1.2718520763125699e-08,0.00011098080930446265,7.820656563925476e-05,1.0605203941791415,1.0205059777308378
MHAR,22,LogHAR,rolling,3,8.39495668420408e-09,9.046872037882457e-05,5.959456112254493e-05,0.7128834827658942,0.6802188811324241
MHAR,22,NN1,fixed,3,1.1473159095845592e-08,0.00010589604402307401,8.160222277141028e-05,0.9764322711444103,1.0073531821536426
MHAR,22,NN1_1,fixed,3,1.1907726162089734e-08,0.00010819383481720336,7.31457870369054e-05,1.0303062243424075,1.0054183938753385
MHAR,22,NN2,fixed,3,1.355720706996571e-08,0.00011461259246502159,9.174660987623676e-05,1.1340104485744646,1.132852358121291
MHAR,22,NN2_1,fixed,3,1.1233041457845717e-08,0.0001056863555503283,7.627356203524958e-05,1.0196670192219925,0.9061053004137463
MHAR,22,NN3,fixed,3,1.5600335264228197e-08,0.00012233844831250956,0.0001013868813442397,1.274882301043981,1.2984698003023492
MHAR,22,NN3_1,fixed,3,1.3304929373910748e-08,0.0001123398600817456,8.711126517314115e-05,1.0802724234562506,1.137776296321122
MHAR,22,NN4,fixed,3,1.4290914142323306e-08,0.00011706912963742689,9.48282017823096e-05,1.1674477604783122,1.1586927864706271
MHAR,22,NN4_1,fixed,3,1.3053941918020517e-08,0.00011196675354583133,8.860655633101241e-05,1.0739885171928873,1.1146519536642567
MHAR,22,PostLasso,rolling,3,1.3466798002939395e-08,0.0001137253059278323,8.843902996680448e-05,1.1026945064176297,1.117976898834346
MHAR,22,RandomForest,rolling,3,1.0920832639179986e-08,0.00010372865153607099,6.301139626398431e-05,0.9508556053834593,0.9543081655030946
MHAR,22,Ridge,rolling,3,1.3473966584529952e-08,0.00011369939277720456,8.873462820682225e-05,1.1012162114130637,1.1228215495855147
MHAR,22,SHAR,rolling,3,1.1753230367132728e-08,0.00010648806854939123,8.060471855632905e-05,0.9715374044686106,0.968898912058209
PARTIAL_MALL,22,AdaptiveLasso,rolling,3,2.998645917010411e-08,0.0001645880216454015,0.000131095927457683,2.4956032304549467,1.5740748886887461
PARTIAL_MALL,22,Bagging,rolling,3,1.0695734778226113e-08,0.0001016564236593138,5.8701062123222066e-05,0.9002056616709154,0.8059399610311336
PARTIAL_MALL,22,ElasticNet,rolling,3,2.2440287002222244e-08,0.00014345588507613637,0.00011888260003942658,1.8103728761158742,1.490025102004632
PARTIAL_MALL,22,GradientBoosting,rolling,3,1.1741892567445755e-08,0.0001074116399117369,7.58228427630802e-05,1.0141757667809805,1.002715049888407
PARTIAL_MALL,22,HAR,rolling,3,1.207623153787882e-08,0.00010799064381108267,8.131436371560862e-05,1.0,1.0
PARTIAL_MALL,22,HARQ,rolling,3,2.364012729367943e-08,0.00014647334802245034,0.00011324781917112115,1.9386901247528456,1.3745335601292685
PARTIAL_MALL,22,HARX,rolling,3,2.535435119270798e-08,0.00015087630833619329,0.0001170477762601092,2.0897315149786984,1.3771298451763092
PARTIAL_MALL,22,Lasso,rolling,3,2.9013893594826144e-08,0.00016079509183687454,0.00013036341379303885,2.407459398695468,1.474854651452117
PARTIAL_MALL,22,LevHAR,rolling,3,2.5337884230362245e-08,0.0001509967468164286,0.00011767163791191728,2.0832156672955366,1.4074542816173867
PARTIAL_MALL,22,LogHAR,rolling,3,8.172549842643292e-09,8.914601156752327e-05,6.009976412039221e-05,0.6874028188035045,0.6729245031374964
PARTIAL_MALL,22,NN1,fixed,3,1.67115980808855e-08,0.00012547110849404997,0.00010305162243785477,1.3264485643352597,1.4384652577319406
PARTIAL_MALL,22,NN1_1,fixed,3,1.8990321430720128e-08,0.00013174938630080738,0.00010306037090082841,1.4440715140994362,1.3508852456448543
PARTIAL_MALL,22,NN2,fixed,3,2.039593927792728e-08,0.0001374750068736285,0.00011732190933658804,1.583173118926512,1.8200009699332247
PARTIAL_MALL,22,NN2_1,fixed,3,2.1119843237061767e-08,0.00014070304299772455,0.00011903721625888297,1.6660499079770261,1.820742996182547
PARTIAL_MALL,22,NN3,fixed,3,1.8843619368099546e-08,0.00013219286632465624,0.00011385147308156245,1.4634611404378461,1.6868680654854034
PARTIAL_MALL,22,NN3_1,fixed,3,1.6458624896423857e-08,0.0001249584277275629,0.00010469624738368223,1.31885542946619,1.4173597547006371
PARTIAL_MALL,22,NN4,fixed,3,1.7002920595072913e-08,0.00012660186218331276,0.0001074325826278763,1.3482055004597482,1.424133188193319
PARTIAL_MALL,22,NN4_1,fixed,3,1.4901826897464304e-08,0.00011884674169049822,9.3548906973933e-05,1.1919566354525584,1.2474046491376667
PARTIAL_MALL,22,PostLasso,rolling,3,2.836238217800275e-08,0.00015846019794906211,0.00012441150604311607,2.3335744108358383,1.483315438497162
PARTIAL_MALL,22,RandomForest,rolling,3,9.122244253643524e-09,9.434664691982498e-05,5.80232668353014e-05,0.7734169651302274,0.8045105995018573
PARTIAL_MALL,22,Ridge,rolling,3,2.828926196883019e-08,0.0001586921727870492,0.00012618279915805724,2.301370966419378,1.611167332059897
PARTIAL_MALL,22,SHAR,rolling,3,2.5128026153946968e-08,0.00015011633893403397,0.00011676143040418538,2.068713888628066,1.3685007464200252
