dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,1,AAPL,AdaptiveLasso,rolling,842,5.90999076732687e-08,0.000243104725732,9.365442131730846e-05,0.0347204283047958,5.6781337870598756e-08,1.0408333070269289
MHAR,1,AAPL,Bagging,rolling,842,5.5049579427139e-08,0.0002346264678742,7.888486431642786e-05,0.1008744929822512,5.6781337870598756e-08,0.9695012743904284
MHAR,1,AAPL,ElasticNet,rolling,842,5.6681917781300015e-08,0.0002380796458778,9.437890864602073e-05,0.0742134891093317,5.6781337870598756e-08,0.9982490710323642
MHAR,1,AAPL,GradientBoosting,rolling,842,5.34309889642711e-08,0.0002311514416227,8.80775871379998e-05,0.1273109523653128,5.6781337870598756e-08,0.9409955976387364
MHAR,1,AAPL,HAR,rolling,842,5.6781337870598756e-08,0.000238288350262,8.470672115728025e-05,0.0725896594792289,5.6781337870598756e-08,1.0
MHAR,1,AAPL,HARQ,rolling,842,5.4866608870874726e-08,0.0002342362245061,7.51461048255139e-05,0.1038629534915303,5.6781337870598756e-08,0.966278903042271
MHAR,1,AAPL,HARX,rolling,842,5.6781337870598756e-08,0.000238288350262,8.470672115728025e-05,0.0725896594792289,5.6781337870598756e-08,1.0
MHAR,1,AAPL,Lasso,rolling,842,5.7474997656764697e-08,0.0002397394370076,9.131380908540432e-05,0.0612601050407658,5.6781337870598756e-08,1.012216333960759
MHAR,1,AAPL,LevHAR,rolling,842,5.5839357310861667e-08,0.0002363035279272,8.218495153565331e-05,0.0879750403883687,5.6781337870598756e-08,0.983410384554802
MHAR,1,AAPL,LogHAR,rolling,842,5.1409539525268355e-08,0.0002267367185201,6.780226222487112e-05,0.1603273127202488,5.6781337870598756e-08,0.9053950021823648
MHAR,1,AAPL,NN1,fixed,842,5.857760849605045e-08,0.0002420281150941,8.083711851258944e-05,0.0432511476566641,5.6781337870598756e-08,1.0316348767537895
MHAR,1,AAPL,NN1_1,fixed,842,5.4993669383850887e-08,0.0002345072906837,7.799238577839107e-05,0.1017876724568618,5.6781337870598756e-08,0.968516619125427
MHAR,1,AAPL,NN2,fixed,842,5.4492893316401983e-08,0.0002334371292583,7.515425463651517e-05,0.1099668545729266,5.6781337870598756e-08,0.9596972413821596
MHAR,1,AAPL,NN2_1,fixed,842,5.5003486305012755e-08,0.0002345282207006,7.9789476397906e-05,0.1016273325540164,5.6781337870598756e-08,0.968689509048948
MHAR,1,AAPL,NN3,fixed,842,5.4093523040705834e-08,0.000232580143264,7.969460701179155e-05,0.1164897745545114,5.6781337870598756e-08,0.9526637636468112
MHAR,1,AAPL,NN3_1,fixed,842,5.6217477804120494e-08,0.0002371022517904,8.247243486857975e-05,0.0817991933836677,5.6781337870598756e-08,0.9900696234427714
MHAR,1,AAPL,NN4,fixed,842,5.707952735849636e-08,0.0002389132213974,8.632585404341011e-05,0.067719326639572,5.6781337870598756e-08,1.005251540366611
MHAR,1,AAPL,NN4_1,fixed,842,5.963670500778706e-08,0.000244206275529,8.450318828813106e-05,0.0259529103584795,5.6781337870598756e-08,1.0502870704402123
MHAR,1,AAPL,PostLasso,rolling,842,5.71215766273964e-08,0.0002390012063304,8.718180943492159e-05,0.0670325353758983,5.6781337870598756e-08,1.0059920877097512
MHAR,1,AAPL,RandomForest,rolling,842,5.325272825235285e-08,0.0002307655265683,7.520909433087649e-05,0.1302224869247544,5.6781337870598756e-08,0.9378561733383706
MHAR,1,AAPL,Ridge,rolling,842,5.6504467821028825e-08,0.0002377066844264,8.759215815724187e-05,0.0771117816514261,5.6781337870598756e-08,0.9951239252199215
MHAR,1,AAPL,SHAR,rolling,842,5.5430845909425886e-08,0.000235437562656,8.27976565817939e-05,0.0946472624972519,5.6781337870598756e-08,0.9762159186130738
MHAR,1,AXP,AdaptiveLasso,rolling,837,2.1046066785493492e-08,0.0001450726258999,6.442552423179841e-05,-0.0073746401281586,2.0547715078469097e-08,1.0242533880346916
MHAR,1,AXP,Bagging,rolling,837,2.39874277804522e-08,0.0001548787518688,5.25097409553626e-05,-0.1481635345084564,2.0547715078469097e-08,1.1674012263089732
MHAR,1,AXP,ElasticNet,rolling,837,2.0764870814629367e-08,0.0001441002110152,6.460413323983226e-05,0.0060848671917544,2.0547715078469097e-08,1.010568364187015
MHAR,1,AXP,GradientBoosting,rolling,837,2.3456982178330247e-08,0.0001531567242347,5.499379060318508e-05,-0.1227736384774562,2.0547715078469097e-08,1.1415859178867838
MHAR,1,AXP,HAR,rolling,837,2.0547715078469097e-08,0.0001433447420677,6.036841657468651e-05,0.0164790745178,2.0547715078469097e-08,1.0
MHAR,1,AXP,HARQ,rolling,837,2.2002937448245387e-08,0.0001483338715474,5.090633236106853e-05,-0.0531754659719356,2.0547715078469097e-08,1.0708216151634855
MHAR,1,AXP,HARX,rolling,837,2.0547715078469097e-08,0.0001433447420677,6.036841657468651e-05,0.0164790745178,2.0547715078469097e-08,1.0
MHAR,1,AXP,Lasso,rolling,837,2.0937780933024617e-08,0.0001446989320383,6.544145916600662e-05,-0.0021915138569359,2.0547715078469097e-08,1.018983417526762
MHAR,1,AXP,LevHAR,rolling,837,4.6408640171569614e-08,0.0002154266468465,0.0001088015591385,-1.2213598231046348,2.0547715078469097e-08,2.2585791166726303
MHAR,1,AXP,LogHAR,rolling,837,1.9213770875980704e-08,0.000138613747067,4.807173341769239e-05,0.0803286087148036,2.0547715078469097e-08,0.93508065508042
MHAR,1,AXP,NN1,fixed,837,1.958862279249619e-08,0.0001399593612178,4.99177334978595e-05,0.0623862388482675,2.0547715078469097e-08,0.9533236526635566
MHAR,1,AXP,NN1_1,fixed,837,1.859537689632624e-08,0.0001363648667961,4.559638928223721e-05,0.1099281732824319,2.0547715078469097e-08,0.9049851443487938
MHAR,1,AXP,NN2,fixed,837,1.9886732646055076e-08,0.0001410203270668,4.97738304398434e-05,0.0481171447933855,2.0547715078469097e-08,0.9678318280212758
MHAR,1,AXP,NN2_1,fixed,837,1.9460759158835834e-08,0.0001395018249301,5.297239171154527e-05,0.0685064599450127,2.0547715078469097e-08,0.947100886133455
