dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,1,AdaptiveLasso,rolling,25,7.450731739053198e-08,0.0002109757382395,7.179634397113704e-05,1.0313788908362702,1.0242533880346916
MHAR,1,Bagging,rolling,25,7.041365821668413e-08,0.000209230347668,5.8339479363163535e-05,1.0445574931188688,1.0280807111615786
MHAR,1,ElasticNet,rolling,25,7.232125489320394e-08,0.0002079221862023,6.880098235599995e-05,1.000563535977713,1.0038676977237952
MHAR,1,GradientBoosting,rolling,25,8.31620545925533e-08,0.0002267050717479,6.794606453441277e-05,1.2598687734612268,1.0409908840132287
MHAR,1,HAR,rolling,25,7.44240688162472e-08,0.0002090527886637,6.080057491702465e-05,1.0,1.0
MHAR,1,HARQ,rolling,25,6.921185136615474e-08,0.0002081215774538,5.679981554532834e-05,1.0385118463316276,1.0173550279864405
MHAR,1,HARX,rolling,25,7.44240688162472e-08,0.0002090527886637,6.080057491702465e-05,1.0,1.0
MHAR,1,Lasso,rolling,25,7.2483694721461e-08,0.0002084241732825,6.96527847339691e-05,1.0076632820246736,1.0104827390276276
MHAR,1,LevHAR,rolling,25,7.566849852625684e-08,0.0002165965403286,7.006844374829536e-05,1.137565470226359,1.0077476913008123
MHAR,1,LogHAR,rolling,25,6.684656817533804e-08,0.0002002129189799,5.26052786355539e-05,0.9317572780647304,0.93508065508042
MHAR,1,NN1,fixed,25,6.759569111242542e-08,0.0002049444808525,5.5119853356225234e-05,1.0089432772568423,1.0018177722356552
MHAR,1,NN1_1,fixed,25,7.612091025083041e-08,0.0002092742270079,5.57708101333852e-05,1.0109679812806491,0.9973561994585212
MHAR,1,NN2,fixed,25,7.491509690682488e-08,0.0002181107909766,5.610919448270388e-05,1.4613100950589206,1.00983162843828
MHAR,1,NN2_1,fixed,25,7.264706907272519e-08,0.000214157309187,5.5724487632342576e-05,1.2230539448438116,0.9726912375258776
MHAR,1,NN3,fixed,25,6.84810946576155e-08,0.0002060695207986,5.729681570020942e-05,1.0187797553028373,0.9982324270238384
MHAR,1,NN3_1,fixed,25,7.929265461039691e-08,0.000213692081148,5.9665956174631774e-05,1.0607882681552812,1.0154371383185117
MHAR,1,NN4,fixed,25,6.880245443661056e-08,0.0002087788001299,5.938496175512652e-05,1.0712179573731986,1.034854371465492
MHAR,1,NN4_1,fixed,25,6.946751107650171e-08,0.0002089018076979,5.938847448109532e-05,1.0673745118258635,1.0258484275463724
MHAR,1,PostLasso,rolling,25,7.502456473717193e-08,0.0002097292900545,6.152427565803685e-05,1.004778203273298,1.0031710266764926
MHAR,1,RandomForest,rolling,25,6.788809691346264e-08,0.000203925967415,5.6786782737746656e-05,0.981479344208672,0.9900586724067972
MHAR,1,Ridge,rolling,25,7.333697085229788e-08,0.0002082747205989,6.14900079124674e-05,0.997161772558242,0.9976757420176746
MHAR,1,SHAR,rolling,25,7.496677274383202e-08,0.0002092298458308,6.063535514775327e-05,1.0008623668373369,0.9973277808180564
MHAR,5,AdaptiveLasso,rolling,25,2.324659028666077e-08,0.0001293665246523,6.78986863043005e-05,1.055228628398749,1.0465343557564206
MHAR,5,Bagging,rolling,25,2.255523392276519e-08,0.0001292974219871,5.3549500618511725e-05,1.0761257778615998,1.0582111866680413
MHAR,5,ElasticNet,rolling,25,2.2998882241840468e-08,0.0001281206705355,6.6966649668676e-05,1.0286441172376164,1.0386001072994535
MHAR,5,GradientBoosting,rolling,25,2.3718331601017863e-08,0.0001330762191701,6.326462878553579e-05,1.1535492544026424,1.0994782279614226
MHAR,5,HAR,rolling,25,2.4133957097530317e-08,0.0001284523084917,5.7617101434311194e-05,1.0,1.0
MHAR,5,HARQ,rolling,25,2.1546217537932105e-08,0.0001270331886769,5.3247146906550415e-05,1.0480780347376877,1.0584715770939648
MHAR,5,HARX,rolling,25,2.4133957097530317e-08,0.0001284523084917,5.7617101434311194e-05,1.0,1.0
MHAR,5,Lasso,rolling,25,2.2549081195126138e-08,0.0001278144376835,6.776119813186827e-05,1.0340558464722989,1.0453988266375
MHAR,5,LevHAR,rolling,25,2.5546130492017885e-08,0.0001361417559739,6.15117707812564e-05,1.2031476619561892,1.0025114294054789
MHAR,5,LogHAR,rolling,25,1.9557188774776588e-08,0.0001177216553443,4.8771128809951784e-05,0.8655234506424364,0.870131572554483
MHAR,5,NN1,fixed,25,1.9238074283028033e-08,0.0001189519944185,4.8134488734276814e-05,0.9187596747305616,0.9037479598175288
MHAR,5,NN1_1,fixed,25,1.9573254372631357e-08,0.0001197735269726,4.898798316898955e-05,0.9340773980888925,0.918513839511663
MHAR,5,NN2,fixed,25,2.064332598085503e-08,0.0001240081592973,4.875323823375208e-05,1.0541932393587974,0.9165242007553688
MHAR,5,NN2_1,fixed,25,2.788594182051027e-08,0.0001353872286072,4.833103616044309e-05,1.145088152912096,0.9358967303950546
MHAR,5,NN3,fixed,25,2.041389681925961e-08,0.0001213353950393,4.9944885322203983e-05,0.9499150367422372,0.9297088196839246
MHAR,5,NN3_1,fixed,25,2.992580674436625e-08,0.0001292015653875,4.9478377779464175e-05,0.969925428376144,0.9020688829910564
MHAR,5,NN4,fixed,25,1.9672490369920765e-08,0.0001212360974694,5.081195461907328e-05,0.9774410448441538,0.9231865688069038
MHAR,5,NN4_1,fixed,25,1.9511405842164108e-08,0.0001204347814295,4.888077174684387e-05,0.9578247877010528,0.9307424647037156
MHAR,5,PostLasso,rolling,25,2.4084107016768265e-08,0.0001289720061211,5.941376536825533e-05,1.0139424197989135,1.008492677669379
MHAR,5,RandomForest,rolling,25,2.0894598830843584e-08,0.0001235152381376,5.19297283093065e-05,0.9709702874347508,0.9740072871442256
MHAR,5,Ridge,rolling,25,2.3879799320252177e-08,0.0001285027276951,5.912870949612647e-05,1.007727094360108,1.0063310883879657
MHAR,5,SHAR,rolling,25,2.4605587870584972e-08,0.0001290605528488,5.7260990886025335e-05,1.0057933119891418,0.9996627521839762
MHAR,22,AdaptiveLasso,rolling,25,1.0761867595928268e-08,9.550024670484614e-05,7.154525259192327e-05,1.1446724675818811,1.185985805484803
MHAR,22,Bagging,rolling,25,1.2966805074929134e-08,0.0001015516496126,5.1918700552195627e-05,1.3524768610441904,1.1409805968699098
MHAR,22,ElasticNet,rolling,25,1.0998371270783984e-08,9.506094760652576e-05,6.981177697613091e-05,1.1114351397348512,1.148246039261149
MHAR,22,GradientBoosting,rolling,25,1.5063110359804345e-08,0.0001076697642616,6.497932036525799e-05,1.466607368823838,1.3183369949440655
MHAR,22,HAR,rolling,25,1.0905920285605353e-08,9.238927677342089e-05,5.974219531042626e-05,1.0,1.0
MHAR,22,HARQ,rolling,25,9.537237948802132e-09,8.97677256945904e-05,5.5760298793906367e-05,1.0051862946344858,1.0185529736353085
MHAR,22,HARX,rolling,25,1.0905920285605353e-08,9.238927677342089e-05,5.974219531042626e-05,1.0,1.0
MHAR,22,Lasso,rolling,25,1.1190200434706784e-08,9.595511060430302e-05,7.193762566907898e-05,1.1356581748385592,1.1675530686938689
MHAR,22,LevHAR,rolling,25,1.1501147224732592e-08,9.647974022165784e-05,5.925783782745727e-05,1.131106499476124,1.0205059777308378
MHAR,22,LogHAR,rolling,25,7.775270972268504e-09,7.975098921805255e-05,4.766414772324568e-05,0.7770004536945894,0.7951964837735236
MHAR,22,NN1,fixed,25,6.894407527485619e-09,7.519419564253415e-05,4.172305333209184e-05,0.7102160661063286,0.7136205542975835
MHAR,22,NN1_1,fixed,25,1.5552227645695196e-08,8.9912462525262e-05,4.2218189534753765e-05,1.1919139812072503,0.6801952130707442
MHAR,22,NN2,fixed,25,5.2830057271902075e-08,0.0001327457108242,4.642987171623898e-05,5.146374614293936,0.7820887508941659
MHAR,22,NN2_1,fixed,25,1.1157867364846882e-08,8.89116545461867e-05,4.369721058992497e-05,1.041874660332419,0.7030335455206727
MHAR,22,NN3,fixed,25,7.077682008170811e-09,7.6537354888093e-05,4.331868902239001e-05,0.7557956503570044,0.6708537065657613
MHAR,22,NN3_1,fixed,25,8.676226734098281e-09,8.226179697923976e-05,4.2578830759596584e-05,0.9338334055308196,0.6599693319408642
