dataset,horizon,model,single_best_model,ticker,selected_seed,selected_seed_val_mse,rows,source_checkpoint
MHAR,22,NN1,NN1_single_best,AAPL,50,1.950760910972958e-09,838,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\AAPL\seed_50.csv
MHAR,22,NN1,NN1_single_best,AXP,72,7.644893358202522e-10,833,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\AXP\seed_72.csv
MHAR,22,NN1,NN1_single_best,BA,75,1.9346146733831804e-09,832,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\BA\seed_75.csv
MHAR,22,NN1,NN1_single_best,CAT,87,7.511753926928164e-10,823,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\CAT\seed_87.csv
MHAR,22,NN1,NN1_single_best,CSCO,45,5.855596500356909e-10,838,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\CSCO\seed_45.csv
MHAR,22,NN1,NN1_single_best,DIS,84,4.981089576375441e-10,833,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\DIS\seed_84.csv
MHAR,22,NN1,NN1_single_best,GE,51,4.3438210973508687e-10,837,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\GE\seed_51.csv
MHAR,22,NN1,NN1_single_best,GS,50,1.3779705510309951e-09,818,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\GS\seed_50.csv
MHAR,22,NN1,NN1_single_best,HD,63,4.814523394719729e-10,833,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\HD\seed_63.csv
MHAR,22,NN1,NN1_single_best,IBM,57,2.3840610120242816e-10,838,C:\Users\celia\Desktop\h22_added\h22_transfer_package_20260523_152155\h22_transfer_package_20260523\outputs_h22_nn_tasks_20260523\nn_seed_predictions\MHAR\h22\NN1\IBM\seed_57.csv
