dataset,horizon,row_model,col_model,reject_share_10pct,reject_share_5pct,reject_share_1pct,applied_style
MHAR,1,HAR,HAR,0.0,0.0,0.0,none
MHAR,1,HAR,HARX,0.0,0.0,0.0,none
MHAR,1,HAR,LogHAR,0.84,0.68,0.4,p05
MHAR,1,HAR,LevHAR,0.16,0.04,0.0,none
MHAR,1,HAR,SHAR,0.16,0.12,0.0,none
MHAR,1,HAR,HARQ,0.08,0.0,0.0,none
MHAR,1,HAR,Ridge,0.36,0.2,0.04,none
MHAR,1,HAR,Lasso,0.04,0.04,0.0,none
MHAR,1,HAR,ElasticNet,0.04,0.04,0.0,none
MHAR,1,HAR,AdaptiveLasso,0.04,0.04,0.0,none
MHAR,1,HAR,PostLasso,0.08,0.08,0.04,none
MHAR,1,HAR,Bagging,0.08,0.0,0.0,none
MHAR,1,HAR,RandomForest,0.2,0.12,0.0,none
MHAR,1,HAR,GradientBoosting,0.08,0.0,0.0,none
MHAR,1,HAR,NN1_1,0.16,0.08,0.04,none
MHAR,1,HAR,NN1,0.12,0.0,0.0,none
MHAR,1,HAR,NN2_1,0.2,0.04,0.0,none
MHAR,1,HAR,NN2,0.08,0.0,0.0,none
MHAR,1,HAR,NN3_1,0.12,0.04,0.0,none
MHAR,1,HAR,NN3,0.12,0.0,0.0,none
MHAR,1,HAR,NN4_1,0.12,0.04,0.0,none
MHAR,1,HAR,NN4,0.04,0.0,0.0,none
MHAR,1,HARX,HAR,0.0,0.0,0.0,none
MHAR,1,HARX,HARX,0.0,0.0,0.0,none
MHAR,1,HARX,LogHAR,0.84,0.68,0.4,p05
MHAR,1,HARX,LevHAR,0.16,0.04,0.0,none
MHAR,1,HARX,SHAR,0.16,0.12,0.0,none
MHAR,1,HARX,HARQ,0.08,0.0,0.0,none
MHAR,1,HARX,Ridge,0.36,0.2,0.04,none
MHAR,1,HARX,Lasso,0.04,0.04,0.0,none
MHAR,1,HARX,ElasticNet,0.04,0.04,0.0,none
MHAR,1,HARX,AdaptiveLasso,0.04,0.04,0.0,none
MHAR,1,HARX,PostLasso,0.08,0.08,0.04,none
MHAR,1,HARX,Bagging,0.08,0.0,0.0,none
MHAR,1,HARX,RandomForest,0.2,0.12,0.0,none
MHAR,1,HARX,GradientBoosting,0.08,0.0,0.0,none
MHAR,1,HARX,NN1_1,0.16,0.08,0.04,none
MHAR,1,HARX,NN1,0.12,0.0,0.0,none
MHAR,1,HARX,NN2_1,0.2,0.04,0.0,none
MHAR,1,HARX,NN2,0.08,0.0,0.0,none
MHAR,1,HARX,NN3_1,0.12,0.04,0.0,none
MHAR,1,HARX,NN3,0.12,0.0,0.0,none
MHAR,1,HARX,NN4_1,0.12,0.04,0.0,none
MHAR,1,HARX,NN4,0.04,0.0,0.0,none
MHAR,1,LogHAR,HAR,0.0,0.0,0.0,none
MHAR,1,LogHAR,HARX,0.0,0.0,0.0,none
MHAR,1,LogHAR,LogHAR,0.0,0.0,0.0,none
MHAR,1,LogHAR,LevHAR,0.0,0.0,0.0,none
MHAR,1,LogHAR,SHAR,0.0,0.0,0.0,none
MHAR,1,LogHAR,HARQ,0.0,0.0,0.0,none
MHAR,1,LogHAR,Ridge,0.0,0.0,0.0,none
MHAR,1,LogHAR,Lasso,0.0,0.0,0.0,none
MHAR,1,LogHAR,ElasticNet,0.0,0.0,0.0,none
MHAR,1,LogHAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,1,LogHAR,PostLasso,0.0,0.0,0.0,none
MHAR,1,LogHAR,Bagging,0.0,0.0,0.0,none
MHAR,1,LogHAR,RandomForest,0.0,0.0,0.0,none
MHAR,1,LogHAR,GradientBoosting,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN1_1,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN1,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN2_1,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN2,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN3_1,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN3,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN4_1,0.0,0.0,0.0,none
MHAR,1,LogHAR,NN4,0.0,0.0,0.0,none
MHAR,1,LevHAR,HAR,0.32,0.24,0.12,none
MHAR,1,LevHAR,HARX,0.32,0.24,0.12,none
MHAR,1,LevHAR,LogHAR,0.56,0.4,0.32,p10
MHAR,1,LevHAR,LevHAR,0.0,0.0,0.0,none
MHAR,1,LevHAR,SHAR,0.28,0.28,0.12,none
MHAR,1,LevHAR,HARQ,0.24,0.16,0.08,none
MHAR,1,LevHAR,Ridge,0.32,0.28,0.16,none
MHAR,1,LevHAR,Lasso,0.28,0.16,0.12,none
MHAR,1,LevHAR,ElasticNet,0.28,0.16,0.16,none
MHAR,1,LevHAR,AdaptiveLasso,0.16,0.16,0.12,none
MHAR,1,LevHAR,PostLasso,0.28,0.24,0.12,none
MHAR,1,LevHAR,Bagging,0.24,0.16,0.12,none
MHAR,1,LevHAR,RandomForest,0.4,0.28,0.2,none
MHAR,1,LevHAR,GradientBoosting,0.32,0.12,0.12,none
MHAR,1,LevHAR,NN1_1,0.2,0.16,0.12,none
MHAR,1,LevHAR,NN1,0.24,0.2,0.12,none
MHAR,1,LevHAR,NN2_1,0.28,0.2,0.12,none
MHAR,1,LevHAR,NN2,0.2,0.12,0.08,none
MHAR,1,LevHAR,NN3_1,0.24,0.16,0.12,none
MHAR,1,LevHAR,NN3,0.24,0.16,0.08,none
MHAR,1,LevHAR,NN4_1,0.24,0.16,0.12,none
MHAR,1,LevHAR,NN4,0.24,0.16,0.08,none
MHAR,1,SHAR,HAR,0.12,0.04,0.0,none
MHAR,1,SHAR,HARX,0.12,0.04,0.0,none
MHAR,1,SHAR,LogHAR,0.64,0.52,0.2,p05
MHAR,1,SHAR,LevHAR,0.08,0.0,0.0,none
MHAR,1,SHAR,SHAR,0.0,0.0,0.0,none
MHAR,1,SHAR,HARQ,0.08,0.0,0.0,none
MHAR,1,SHAR,Ridge,0.28,0.08,0.04,none
MHAR,1,SHAR,Lasso,0.08,0.04,0.0,none
MHAR,1,SHAR,ElasticNet,0.08,0.04,0.0,none
MHAR,1,SHAR,AdaptiveLasso,0.08,0.08,0.0,none
MHAR,1,SHAR,PostLasso,0.08,0.04,0.0,none
MHAR,1,SHAR,Bagging,0.08,0.0,0.0,none
MHAR,1,SHAR,RandomForest,0.12,0.08,0.0,none
MHAR,1,SHAR,GradientBoosting,0.08,0.04,0.0,none
MHAR,1,SHAR,NN1_1,0.16,0.08,0.04,none
MHAR,1,SHAR,NN1,0.08,0.04,0.0,none
MHAR,1,SHAR,NN2_1,0.24,0.08,0.04,none
MHAR,1,SHAR,NN2,0.04,0.0,0.0,none
MHAR,1,SHAR,NN3_1,0.16,0.04,0.0,none
MHAR,1,SHAR,NN3,0.0,0.0,0.0,none
