dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,22,AAPL,AdaptiveLasso,rolling,838,2.1348152667868772e-08,0.0001461100703848601,0.00011601768578905117,-1.1743791852975334,1.7722984237348575e-08,1.204546163443552
MHAR,22,AAPL,Bagging,rolling,838,1.363401957655679e-08,0.00011676480452840568,7.68732531636758e-05,-0.388669494753231,1.7722984237348575e-08,0.7692846415687209
MHAR,22,AAPL,ElasticNet,rolling,838,2.0350346454423284e-08,0.0001426546404938279,0.00011322552659226728,-1.0727493583410346,1.7722984237348575e-08,1.1482460392611493
MHAR,22,AAPL,GradientBoosting,rolling,838,1.519959884998962e-08,0.0001232866531705262,8.47016244129488e-05,-0.5481288652218155,1.7722984237348575e-08,0.8576207396245779
MHAR,22,AAPL,HAR,rolling,838,1.7722984237348575e-08,0.00013312769898615607,9.991498208660536e-05,-0.8051439216587815,1.7722984237348575e-08,1.0
MHAR,22,AAPL,HARQ,rolling,838,1.7729534620326456e-08,0.00013315229859197495,9.944382729290417e-05,-0.8058110995933045,1.7722984237348575e-08,1.000369598194647
MHAR,22,AAPL,HARX,rolling,838,1.7722984237348575e-08,0.00013312769898615607,9.991498208660536e-05,-0.8051439216587815,1.7722984237348575e-08,1.0
MHAR,22,AAPL,Lasso,rolling,838,2.0692524632729392e-08,0.00014384896465643884,0.00011561842813950344,-1.107601325166795,1.7722984237348575e-08,1.1675530686938687
MHAR,22,AAPL,LevHAR,rolling,838,1.749591145272903e-08,0.00013227211139438665,9.905185153432935e-05,-0.7820158157235351,1.7722984237348575e-08,0.987187666502517
MHAR,22,AAPL,LogHAR,rolling,838,1.2055508508256948e-08,0.00010979757970127096,7.433540293319599e-05,-0.22789297867374403,1.7722984237348575e-08,0.6802188811324303
MHAR,22,AAPL,NN1,fixed,838,1.2762583272952115e-08,0.00011297160383455709,6.336503704247511e-05,-0.29991085650709604,1.7722984237348575e-08,0.7201148013243082
MHAR,22,AAPL,NN1_1,fixed,838,2.282832419219163e-07,0.0004777899558612721,8.390998091344173e-05,-22.251394971254438,1.7722984237348575e-08,12.88063222675801
MHAR,22,AAPL,NN2,fixed,838,9.052020855031223e-09,9.514210873756805e-05,5.994880539104052e-05,0.07802206409722023,1.7722984237348575e-08,0.5107503755465417
MHAR,22,AAPL,NN2_1,fixed,838,9.983601950993065e-09,9.991797611537708e-05,5.893737324009218e-05,-0.016862518001766302,1.7722984237348575e-08,0.5633138199126814
MHAR,22,AAPL,NN3,fixed,838,9.213659725493582e-09,9.598781029637869e-05,5.999311546355703e-05,0.06155861637242721,1.7722984237348575e-08,0.5198706720100306
MHAR,22,AAPL,NN3_1,fixed,838,1.1657212728957762e-08,0.00010796857287635954,6.063905329899271e-05,-0.18732525060968985,1.7722984237348575e-08,0.6577454774457173
MHAR,22,AAPL,NN4,fixed,838,9.360556060998136e-09,9.674996672349885e-05,6.024211372224537e-05,0.04659674406024705,1.7722984237348575e-08,0.5281591370640698
MHAR,22,AAPL,NN4_1,fixed,838,8.887094613282986e-09,9.427138809460157e-05,5.768624424224847e-05,0.09482034134143658,1.7722984237348575e-08,0.5014445927540095
MHAR,22,AAPL,PostLasso,rolling,838,1.9813886955760956e-08,0.00014076180929414398,0.00011017892382742469,-1.0181092034857544,1.7722984237348575e-08,1.117976898834346
MHAR,22,AAPL,RandomForest,rolling,838,1.4056200172244158e-08,0.00011855884687463925,7.682225420006072e-05,-0.43166996950066827,1.7722984237348575e-08,0.7931057198946658
MHAR,22,AAPL,Ridge,rolling,838,1.989974862465938e-08,0.0001410664688175733,0.00011102201127807637,-1.0268544953417864,1.7722984237348575e-08,1.1228215495855147
