dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,22,AdaptiveLasso,rolling,25,1.0761867595928268e-08,9.550024670484614e-05,7.154525259192327e-05,1.1446724675818811,1.185985805484803
MHAR,22,Bagging,rolling,25,1.2966805074929134e-08,0.00010155164961266667,5.1918700552195627e-05,1.3524768610441904,1.1409805968699098
MHAR,22,ElasticNet,rolling,25,1.0998371270783984e-08,9.506094760652575e-05,6.981177697613091e-05,1.1114351397348512,1.1482460392611493
MHAR,22,GradientBoosting,rolling,25,1.5063110359804345e-08,0.00010766976426168084,6.497932036525799e-05,1.466607368823838,1.3183369949440655
MHAR,22,HAR,rolling,25,1.0905920285605353e-08,9.238927677342087e-05,5.974219531042626e-05,1.0,1.0
MHAR,22,HARQ,rolling,25,9.537237948802132e-09,8.97677256945904e-05,5.5760298793906367e-05,1.0051862946344858,1.0185529736353085
MHAR,22,HARX,rolling,25,1.0905920285605353e-08,9.238927677342087e-05,5.974219531042626e-05,1.0,1.0
MHAR,22,Lasso,rolling,25,1.1190200434706785e-08,9.595511060430302e-05,7.193762566907898e-05,1.1356581748385592,1.1675530686938687
MHAR,22,LevHAR,rolling,25,1.1501147224732592e-08,9.647974022165784e-05,5.925783782745727e-05,1.131106499476124,1.0205059777308378
MHAR,22,LogHAR,rolling,25,7.775270972268504e-09,7.975098921805255e-05,4.766414772324568e-05,0.7770004536945894,0.7951964837735236
MHAR,22,NN1,fixed,25,6.894407527485619e-09,7.519419564253415e-05,4.172305333209184e-05,0.7102160661063286,0.7136205542975835
MHAR,22,NN1_1,fixed,25,1.5552227645695196e-08,8.9912462525262e-05,4.2218189534753765e-05,1.1919139812072503,0.6801952130707442
MHAR,22,NN2,fixed,25,5.283005727190207e-08,0.00013274571082422205,4.642987171623898e-05,5.146374614293936,0.7820887508941659
MHAR,22,NN2_1,fixed,25,1.1157867364846882e-08,8.89116545461867e-05,4.369721058992497e-05,1.041874660332419,0.7030335455206727
MHAR,22,NN3,fixed,25,7.077682008170811e-09,7.6537354888093e-05,4.331868902239001e-05,0.7557956503570044,0.6708537065657613
MHAR,22,NN3_1,fixed,25,8.67622673409828e-09,8.226179697923976e-05,4.2578830759596584e-05,0.9338334055308196,0.6599693319408642
MHAR,22,NN4,fixed,25,7.156856308804618e-09,7.688593481262856e-05,4.3696796997214234e-05,0.7656646076624408,0.6927761807797104
MHAR,22,NN4_1,fixed,25,7.363201924482799e-09,7.841605696832948e-05,4.344455567236674e-05,0.8155200621635451,0.6885673600463147
MHAR,22,PostLasso,rolling,25,1.0987553551686341e-08,9.379486630884106e-05,6.32509938501171e-05,1.0562263076898106,1.0568565080309742
MHAR,22,RandomForest,rolling,25,1.0362198957984298e-08,9.232541552389808e-05,5.0527660284367945e-05,1.0624288567962188,1.0331757621312798
MHAR,22,Ridge,rolling,25,1.1353708979623514e-08,9.491728208795491e-05,6.332661063505108e-05,1.0632561265036962,1.0526363180993827
MHAR,22,SHAR,rolling,25,1.1251361897775229e-08,9.329299898984128e-05,5.9377788883919965e-05,1.0186022279698688,0.9988430570182256
PARTIAL_MALL,22,AdaptiveLasso,rolling,25,1.6061584456217678e-08,0.00011455575186534013,8.773484741888281e-05,1.7317130846149655,1.4355910334863358
PARTIAL_MALL,22,Bagging,rolling,25,8.787067108808444e-09,8.677420349319257e-05,4.778331150749843e-05,1.0179314578059464,0.8627836797213556
PARTIAL_MALL,22,ElasticNet,rolling,25,1.3649556188588314e-08,0.00010574346384096116,8.057311496904038e-05,1.4243376867496602,1.308437495098665
PARTIAL_MALL,22,GradientBoosting,rolling,25,9.89136284698945e-09,9.193671521379831e-05,6.247432569742889e-05,1.0987991105379644,1.0027150498884072
PARTIAL_MALL,22,HAR,rolling,25,1.0905920285605353e-08,9.238927677342087e-05,5.974219531042626e-05,1.0,1.0
PARTIAL_MALL,22,HARQ,rolling,25,1.36252455542229e-08,0.00010683635496223222,7.564835761221007e-05,1.505397347735926,1.374533560129268
PARTIAL_MALL,22,HARX,rolling,25,1.4810279267794606e-08,0.00010981930730891292,7.75359508347009e-05,1.5493944414166154,1.3545271771226788
PARTIAL_MALL,22,Lasso,rolling,25,1.5583482655155046e-08,0.00011289834453167492,8.736594510686171e-05,1.6905308181571101,1.4339393625684387
PARTIAL_MALL,22,LevHAR,rolling,25,1.5198343231705464e-08,0.00011128353736378875,7.881961398991144e-05,1.6166548880612968,1.3609939278391106
PARTIAL_MALL,22,LogHAR,rolling,25,7.253402116298547e-09,7.743452185655632e-05,4.747293052042947e-05,0.737141314682313,0.7444550234578188
PARTIAL_MALL,22,NN1,fixed,25,8.077997567159706e-09,7.899409059686868e-05,4.46610776704153e-05,0.7637165447250297,0.7562962764327938
PARTIAL_MALL,22,NN1_1,fixed,25,7.267393525040942e-09,7.738088009510306e-05,4.57632451561938e-05,0.7688726749935167,0.7174538977635266
PARTIAL_MALL,22,NN2,fixed,25,1.236368007288548e-08,8.881262115987754e-05,4.6726244788268485e-05,0.9233864855430528,0.8131254233423386
PARTIAL_MALL,22,NN2_1,fixed,25,2.1169966578753376e-08,0.00010408059075394161,4.767647641708924e-05,2.154223481085147,0.7819499579016047
PARTIAL_MALL,22,NN3,fixed,25,7.203306735649965e-09,7.745712066555178e-05,4.494343487443576e-05,0.7804535598762459,0.6862408379077771
PARTIAL_MALL,22,NN3_1,fixed,25,7.260909062796184e-09,7.787788261300563e-05,4.5260972062758205e-05,0.7889403474171464,0.7198990085518567
PARTIAL_MALL,22,NN4,fixed,25,7.243598992898974e-09,7.775258075596309e-05,4.519882089352414e-05,0.7887091472504575,0.6977325750268871
PARTIAL_MALL,22,NN4_1,fixed,25,7.281473412758974e-09,7.795346033014011e-05,4.554021150413398e-05,0.7915661677545891,0.715241185770621
PARTIAL_MALL,22,PostLasso,rolling,25,1.5551630805590057e-08,0.00011215544253459858,8.027340673840158e-05,1.6447156184715288,1.3744157818401213
PARTIAL_MALL,22,RandomForest,rolling,25,7.760126715628754e-09,8.081894488006298e-05,4.712543551538012e-05,0.8189171651288356,0.8046280203647622
