No.,Acronym,Mean,Median,Maximum,Minimum,Standard deviation,Skewness,Kurtosis
1,RVD,"21.11 [14.96,27.96]","17.34 [12.42,23.49]","317.63 [118.33,317.63]","3.39 [3.39,6.80]","13.68 [8.27,20.09]","3.52 [1.96,5.35]","28.11 [9.34,67.31]"
2,RVW,"21.57 [15.36,28.66]","17.86 [12.92,24.64]","221.55 [80.41,221.55]","5.44 [5.44,9.58]","12.89 [7.60,19.30]","3.06 [1.62,4.47]","19.06 [6.56,33.85]"
3,RVM,"21.88 [15.67,29.08]","18.21 [13.04,25.60]","153.40 [56.59,153.40]","7.25 [7.25,12.00]","12.24 [7.03,18.54]","2.76 [1.52,3.74]","14.62 [5.89,21.46]"
4,IV,,,,,,,
5,EA,,,,,,,
6,VIX,19.62,17.11,80.86,9.14,8.91,2.16,10.03
7,EPU,101.11,83.70,719.07,3.32,68.24,2.11,11.24
8,US3M,-0.09,0.00,74.00,-81.00,4.69,-0.88,73.91
9,HSI,0.02,0.00,1.84,0.00,0.07,14.33,301.42
10,M1W,"0.07 [-0.12,0.28]","0.21 [-0.07,0.73]","39.39 [11.25,39.39]","-195.64 [-195.64,-17.23]","4.42 [2.71,8.73]","-6.64 [-13.50,-0.14]","217.18 [5.98,290.62]"
11,$VOL,"0.00 [-0.06,0.08]","-1.13 [-2.19,-0.20]","327.66 [161.97,327.66]","-168.94 [-168.94,-101.37]","32.76 [25.78,38.25]","0.40 [0.15,0.90]","4.91 [4.15,8.55]"
12,ADS,-26.71,-13.32,98.38,-384.75,69.24,-2.36,10.87
