acronym,source_col,stat,overall,asset_min,asset_max,note
RVD,rvd,mean,21.106765655930705,14.960620037030782,27.95596169559901,
RVD,rvd,median,17.335486889700675,12.424543508738324,23.49131652887499,
RVD,rvd,maximum,317.62894835358065,118.33338858932514,317.62894835358065,
RVD,rvd,minimum,3.393061523972086,3.393061523972086,6.795271852345938,
RVD,rvd,std,13.683067053534515,8.27364034473615,20.090372244393066,
RVD,rvd,skewness,3.5158021754485262,1.961621990557116,5.352746647240703,
RVD,rvd,kurtosis,28.110970694997867,9.34052900864246,67.31444088781691,
RVW,rvw,mean,21.568663943118313,15.360216559766442,28.655898702413477,
RVW,rvw,median,17.86311899954932,12.923555118534482,24.64278068547391,
RVW,rvw,maximum,221.5490212077681,80.41244655515247,221.5490212077681,
RVW,rvw,minimum,5.438451526283973,5.438451526283973,9.582497039932496,
RVW,rvw,std,12.888208309356948,7.602726364003845,19.298211902710026,
RVW,rvw,skewness,3.062643232576345,1.6245211296373188,4.470795953152497,
RVW,rvw,kurtosis,19.056990224873438,6.559106865757442,33.845562601918594,
RVM,rvm,mean,21.882375153745727,15.671119242623796,29.083709482249454,
RVM,rvm,median,18.209560316433475,13.038826536290303,25.595833659339245,
RVM,rvm,maximum,153.39641563726676,56.58867350476464,153.39641563726676,
RVM,rvm,minimum,7.249244151783807,7.249244151783807,12.002283966686278,
RVM,rvm,std,12.24311486228518,7.030771391436047,18.53647572157542,
RVM,rvm,skewness,2.76496437495179,1.5186772192020181,3.7356664191415696,
RVM,rvm,kurtosis,14.617486096493586,5.890958387973626,21.464247521541655,
IV,iv,mean,,,,omitted: firm-level OptionMetrics IV not supplied
IV,iv,median,,,,omitted: firm-level OptionMetrics IV not supplied
IV,iv,maximum,,,,omitted: firm-level OptionMetrics IV not supplied
IV,iv,minimum,,,,omitted: firm-level OptionMetrics IV not supplied
IV,iv,std,,,,omitted: firm-level OptionMetrics IV not supplied
IV,iv,skewness,,,,omitted: firm-level OptionMetrics IV not supplied
IV,iv,kurtosis,,,,omitted: firm-level OptionMetrics IV not supplied
EA,ea,mean,0.01624857741266031,0.01608325449385052,0.0168944099378882,stats omitted for binary EA dummy
EA,ea,median,0.0,0.0,0.0,stats omitted for binary EA dummy
EA,ea,maximum,1.0,1.0,1.0,stats omitted for binary EA dummy
EA,ea,minimum,0.0,0.0,0.0,stats omitted for binary EA dummy
EA,ea,std,0.12643066881233272,0.12581067963454468,0.1288918784604273,stats omitted for binary EA dummy
EA,ea,skewness,7.652584299851633,7.500018894016656,7.696417597019373,stats omitted for binary EA dummy
EA,ea,kurtosis,59.56312836163803,57.27725323068887,60.26193061289018,stats omitted for binary EA dummy
VIX,vix,mean,19.620087220144793,,,
VIX,vix,median,17.11,,,
VIX,vix,maximum,80.86,,,
VIX,vix,minimum,9.14,,,
VIX,vix,std,8.91420474387289,,,
VIX,vix,skewness,2.163117502316134,,,
VIX,vix,kurtosis,10.034952010363297,,,
EPU,epu,mean,101.11068829318211,,,
EPU,epu,median,83.7,,,
EPU,epu,maximum,719.07,,,
EPU,epu,minimum,3.32,,,
EPU,epu,std,68.24330019593681,,,
EPU,epu,skewness,2.1116505511271897,,,
EPU,epu,kurtosis,11.24030550687635,,,
US3M,us3m_diff,mean,-0.08705756338284093,,,
US3M,us3m_diff,median,0.0,,,
US3M,us3m_diff,maximum,74.0,,,
US3M,us3m_diff,minimum,-81.0,,,
US3M,us3m_diff,std,4.694940656741371,,,
US3M,us3m_diff,skewness,-0.8827998317889802,,,
US3M,us3m_diff,kurtosis,73.91226429848699,,,
HSI,hsi,mean,0.02119435425493388,,,
HSI,hsi,median,0.004619556238200562,,,
HSI,hsi,maximum,1.84471400675731,,,
HSI,hsi,minimum,6.779266692622534e-11,,,
HSI,hsi,std,0.0693059881868168,,,
HSI,hsi,skewness,14.333164618127816,,,
HSI,hsi,kurtosis,301.4239209467208,,,
M1W,m1w,mean,0.07031191511947475,-0.11601257913380793,0.2788062959584736,
M1W,m1w,median,0.20979552651744,-0.065340916570585,0.72879031575911,
M1W,m1w,maximum,39.39436498641104,11.25352539152231,39.39436498641104,
M1W,m1w,minimum,-195.64210719753063,-195.64210719753063,-17.23415826972203,
M1W,m1w,std,4.41766119592421,2.7088212368611613,8.72816819711182,
M1W,m1w,skewness,-6.64357284393012,-13.496417294285328,-0.13578824695925057,
M1W,m1w,kurtosis,217.18200654231865,5.981033805871622,290.6171617441794,
$VOL,dvol,mean,0.0011209890008399516,-0.058685659062046036,0.08002990369140947,
$VOL,dvol,median,-1.1287251543427201,-2.18685708571584,-0.20170894468201,
$VOL,dvol,maximum,327.6628111894411,161.96751870574315,327.6628111894411,
$VOL,dvol,minimum,-168.9443369573226,-168.9443369573226,-101.37252305806044,
$VOL,dvol,std,32.75855551961252,25.77881965158595,38.251914989202255,
$VOL,dvol,skewness,0.4004835097111846,0.1547343856582953,0.8960761411161725,
$VOL,dvol,kurtosis,4.905838658751759,4.1530682018612435,8.554201975548677,
ADS,ads,mean,-26.706574142746117,,,
ADS,ads,median,-13.31705549512718,,,
ADS,ads,maximum,98.38152206251112,,,
ADS,ads,minimum,-384.75160876824634,,,
ADS,ads,std,69.2398561842172,,,
ADS,ads,skewness,-2.3636333629410604,,,
ADS,ads,kurtosis,10.872675420199034,,,
