dataset,row_model,col_model,reject_share_10pct,reject_share_5pct,reject_share_1pct,applied_style
MHAR,HAR,HAR,0.0,0.0,0.0,none
MHAR,HAR,HARX,0.0,0.0,0.0,none
MHAR,HAR,LogHAR,0.84,0.76,0.68,p01
MHAR,HAR,LevHAR,1.0,1.0,1.0,p01
MHAR,HAR,SHAR,0.88,0.88,0.84,p01
MHAR,HAR,HARQ,0.96,0.92,0.88,p01
MHAR,HAR,Ridge,0.12,0.12,0.04,none
MHAR,HAR,Lasso,0.0,0.0,0.0,none
MHAR,HAR,ElasticNet,0.0,0.0,0.0,none
MHAR,HAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,HAR,PostLasso,0.04,0.04,0.0,none
MHAR,HAR,Bagging,0.44,0.4,0.2,none
MHAR,HAR,RandomForest,0.56,0.52,0.28,p05
MHAR,HAR,GradientBoosting,0.16,0.12,0.08,none
MHAR,HAR,NN1_1,0.04,0.04,0.0,none
MHAR,HAR,NN1,0.0,0.0,0.0,none
MHAR,HAR,NN2_1,0.04,0.04,0.0,none
MHAR,HAR,NN2,0.0,0.0,0.0,none
MHAR,HAR,NN3_1,0.0,0.0,0.0,none
MHAR,HAR,NN3,0.0,0.0,0.0,none
MHAR,HAR,NN4_1,0.0,0.0,0.0,none
MHAR,HAR,NN4,0.0,0.0,0.0,none
MHAR,HARX,HAR,0.0,0.0,0.0,none
MHAR,HARX,HARX,0.0,0.0,0.0,none
MHAR,HARX,LogHAR,0.84,0.76,0.68,p01
MHAR,HARX,LevHAR,1.0,1.0,1.0,p01
MHAR,HARX,SHAR,0.88,0.88,0.84,p01
MHAR,HARX,HARQ,0.96,0.92,0.88,p01
MHAR,HARX,Ridge,0.12,0.12,0.04,none
MHAR,HARX,Lasso,0.0,0.0,0.0,none
MHAR,HARX,ElasticNet,0.0,0.0,0.0,none
MHAR,HARX,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,HARX,PostLasso,0.04,0.04,0.0,none
MHAR,HARX,Bagging,0.44,0.4,0.2,none
MHAR,HARX,RandomForest,0.56,0.52,0.28,p05
MHAR,HARX,GradientBoosting,0.16,0.12,0.08,none
MHAR,HARX,NN1_1,0.04,0.04,0.0,none
MHAR,HARX,NN1,0.0,0.0,0.0,none
MHAR,HARX,NN2_1,0.04,0.04,0.0,none
MHAR,HARX,NN2,0.0,0.0,0.0,none
MHAR,HARX,NN3_1,0.0,0.0,0.0,none
MHAR,HARX,NN3,0.0,0.0,0.0,none
MHAR,HARX,NN4_1,0.0,0.0,0.0,none
MHAR,HARX,NN4,0.0,0.0,0.0,none
MHAR,LogHAR,HAR,0.0,0.0,0.0,none
MHAR,LogHAR,HARX,0.0,0.0,0.0,none
MHAR,LogHAR,LogHAR,0.0,0.0,0.0,none
MHAR,LogHAR,LevHAR,0.92,0.92,0.84,p01
MHAR,LogHAR,SHAR,0.52,0.44,0.36,p10
MHAR,LogHAR,HARQ,0.76,0.68,0.48,p05
MHAR,LogHAR,Ridge,0.0,0.0,0.0,none
MHAR,LogHAR,Lasso,0.0,0.0,0.0,none
MHAR,LogHAR,ElasticNet,0.0,0.0,0.0,none
MHAR,LogHAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,LogHAR,PostLasso,0.0,0.0,0.0,none
MHAR,LogHAR,Bagging,0.0,0.0,0.0,none
MHAR,LogHAR,RandomForest,0.0,0.0,0.0,none
MHAR,LogHAR,GradientBoosting,0.0,0.0,0.0,none
MHAR,LogHAR,NN1_1,0.0,0.0,0.0,none
MHAR,LogHAR,NN1,0.0,0.0,0.0,none
MHAR,LogHAR,NN2_1,0.0,0.0,0.0,none
MHAR,LogHAR,NN2,0.0,0.0,0.0,none
MHAR,LogHAR,NN3_1,0.0,0.0,0.0,none
MHAR,LogHAR,NN3,0.0,0.0,0.0,none
MHAR,LogHAR,NN4_1,0.0,0.0,0.0,none
MHAR,LogHAR,NN4,0.0,0.0,0.0,none
MHAR,LevHAR,HAR,0.0,0.0,0.0,none
MHAR,LevHAR,HARX,0.0,0.0,0.0,none
MHAR,LevHAR,LogHAR,0.04,0.04,0.04,none
MHAR,LevHAR,LevHAR,0.0,0.0,0.0,none
MHAR,LevHAR,SHAR,0.04,0.04,0.04,none
MHAR,LevHAR,HARQ,0.04,0.04,0.04,none
MHAR,LevHAR,Ridge,0.0,0.0,0.0,none
MHAR,LevHAR,Lasso,0.0,0.0,0.0,none
MHAR,LevHAR,ElasticNet,0.0,0.0,0.0,none
MHAR,LevHAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,LevHAR,PostLasso,0.0,0.0,0.0,none
MHAR,LevHAR,Bagging,0.04,0.04,0.0,none
MHAR,LevHAR,RandomForest,0.04,0.04,0.04,none
MHAR,LevHAR,GradientBoosting,0.0,0.0,0.0,none
MHAR,LevHAR,NN1_1,0.0,0.0,0.0,none
MHAR,LevHAR,NN1,0.0,0.0,0.0,none
MHAR,LevHAR,NN2_1,0.0,0.0,0.0,none
MHAR,LevHAR,NN2,0.0,0.0,0.0,none
MHAR,LevHAR,NN3_1,0.0,0.0,0.0,none
MHAR,LevHAR,NN3,0.0,0.0,0.0,none
MHAR,LevHAR,NN4_1,0.0,0.0,0.0,none
MHAR,LevHAR,NN4,0.0,0.0,0.0,none
MHAR,SHAR,HAR,0.12,0.12,0.12,none
MHAR,SHAR,HARX,0.12,0.12,0.12,none
MHAR,SHAR,LogHAR,0.2,0.16,0.16,none
MHAR,SHAR,LevHAR,0.92,0.92,0.88,p01
MHAR,SHAR,SHAR,0.0,0.0,0.0,none
MHAR,SHAR,HARQ,0.4,0.36,0.32,none
MHAR,SHAR,Ridge,0.16,0.12,0.12,none
MHAR,SHAR,Lasso,0.08,0.08,0.04,none
MHAR,SHAR,ElasticNet,0.12,0.12,0.08,none
MHAR,SHAR,AdaptiveLasso,0.04,0.04,0.04,none
MHAR,SHAR,PostLasso,0.12,0.12,0.12,none
MHAR,SHAR,Bagging,0.12,0.12,0.08,none
MHAR,SHAR,RandomForest,0.16,0.16,0.12,none
MHAR,SHAR,GradientBoosting,0.08,0.08,0.08,none
MHAR,SHAR,NN1_1,0.0,0.0,0.0,none
MHAR,SHAR,NN1,0.0,0.0,0.0,none
MHAR,SHAR,NN2_1,0.04,0.04,0.04,none
MHAR,SHAR,NN2,0.0,0.0,0.0,none
MHAR,SHAR,NN3_1,0.0,0.0,0.0,none
MHAR,SHAR,NN3,0.0,0.0,0.0,none
MHAR,SHAR,NN4_1,0.0,0.0,0.0,none
MHAR,SHAR,NN4,0.0,0.0,0.0,none
MHAR,HARQ,HAR,0.0,0.0,0.0,none
MHAR,HARQ,HARX,0.0,0.0,0.0,none
MHAR,HARQ,LogHAR,0.04,0.0,0.0,none
