dataset,model,prob,unc,cond,n_tickers
MHAR,AdaptiveLasso,0.034089312807657424,16,16,25
MHAR,Bagging,0.043854934748152656,5,5,25
MHAR,ElasticNet,0.035239548132537546,15,16,25
MHAR,GradientBoosting,0.03653418216137055,13,10,25
MHAR,HAR,0.039572104594986765,9,7,25
MHAR,HARQ,0.047386143885275886,8,7,25
MHAR,HARX,0.039572104594986765,9,7,25
MHAR,Lasso,0.03427594480036699,15,15,25
MHAR,LevHAR,0.02692432079241641,21,19,25
MHAR,LogHAR,0.045627748572047946,4,2,25
MHAR,NN1,0.052760822551374965,5,4,25
MHAR,NN1_1,0.0526151123872537,6,5,25
MHAR,NN2,0.05368365650322135,5,6,25
MHAR,NN2_1,0.05310775011910453,7,5,25
MHAR,NN3,0.05255989251847579,5,5,25
MHAR,NN3_1,0.052883235821257604,4,3,25
MHAR,NN4,0.055107093503970556,6,7,25
MHAR,NN4_1,0.05754858995918468,9,7,25
MHAR,PostLasso,0.03890348445388143,10,9,25
MHAR,RandomForest,0.04360887214406011,5,5,25
MHAR,Ridge,0.03861103069526041,11,9,25
MHAR,SHAR,0.03392947136828556,15,14,25
PARTIAL_MALL,AdaptiveLasso,0.04247118003071364,11,8,25
PARTIAL_MALL,Bagging,0.040006614699308926,11,10,25
PARTIAL_MALL,ElasticNet,0.035346797632307865,16,15,25
PARTIAL_MALL,GradientBoosting,0.03602576606442279,15,13,25
PARTIAL_MALL,HAR,0.039572104594986765,9,7,25
PARTIAL_MALL,HARQ,0.057587831708508654,10,11,25
PARTIAL_MALL,HARX,0.054219733463274584,7,10,25
PARTIAL_MALL,Lasso,0.038303504191949854,12,10,25
PARTIAL_MALL,LevHAR,0.04226327240635621,15,11,25
PARTIAL_MALL,LogHAR,0.043035047076555186,7,6,25
PARTIAL_MALL,NN1,0.052001842374513184,9,9,25
PARTIAL_MALL,NN1_1,0.053577642249879195,8,9,25
PARTIAL_MALL,NN2,0.056404072185816695,5,8,25
PARTIAL_MALL,NN2_1,0.05751112772261683,10,11,25
PARTIAL_MALL,NN3,0.05539664916502891,6,9,25
PARTIAL_MALL,NN3_1,0.05522614430505672,6,8,25
PARTIAL_MALL,NN4,0.057030369702147414,7,9,25
PARTIAL_MALL,NN4_1,0.05707596885967406,7,9,25
PARTIAL_MALL,PostLasso,0.058384620455408126,11,12,25
PARTIAL_MALL,RandomForest,0.03961558725624598,11,7,25
PARTIAL_MALL,Ridge,0.05220314558233199,9,11,25
PARTIAL_MALL,SHAR,0.04875582185298641,11,12,25
